"基金名称","时间","现金流类型","金额","备注"
"优选成长基金","2023/01/05","申购","10000","长期投资"
"创新驱动基金","2023/02/12","赎回","8000","资金周转"
"稳健回报基金","2023/03/20","申购","15000","资产配置"
"价值发现基金","2023/04/28","分红","3500","正常分红"
"平衡配置基金","2023/05/16","申购","12000","市场看好"
"潜力增长基金","2023/06/22","赎回","9000","调整投资"
"蓝筹核心基金","2023/07/30","申购","18000","价值投资"
"量化精选基金","2023/08/18","分红","4000","基金盈利"
"主题投资基金","2023/09/09","申购","16000","行业布局"
"消费升级基金","2023/10/14","赎回","7000","获利了结"
"科技前沿基金","2023/11/21","申购","14000","新兴领域"
"医疗健康基金","2023/12/06","分红","3000","业绩良好"
"环保产业基金","2024/01/12","申购","11000","绿色投资"
"文化传媒基金","2024/02/26","赎回","6000","资产调整"
"新能源主题基金","2024/03/18","申购","13000","能源布局"
"高端制造基金","2024/04/09","分红","2500","稳定收益"
"养老目标基金","2024/05/23","申购","10000","养老规划"
"债券投资基金","2024/06/30","赎回","5000","风险控制"
"混合策略基金","2024/07/15","申购","9000","平衡配置"
"指数增强基金","2024/08/28","分红","2000","基金表现"