"项目简称","所属基金","轮次","文件名称","类别","交割义务明细","是否属于重大事项"
"项目 A","基金 1","A 轮","文件 1","类别 1","义务 1","是"
"项目 B","基金 2","B 轮","文件 2","类别 2","义务 2","否"
"项目 C","基金 3","天使轮","文件 3","类别 3","义务 3","是"
"项目 D","基金 4","Pre-A 轮","文件 4","类别 4","义务 4","否"
"项目 E","基金 5","A 轮","文件 5","类别 5","义务 5","是"
"项目 F","基金 6","B 轮","文件 6","类别 6","义务 6","否"
"项目 G","基金 7","C 轮","文件 7","类别 7","义务 7","是"
"项目 H","基金 8","天使轮","文件 8","类别 8","义务 8","否"
"项目 I","基金 9","A 轮","文件 9","类别 9","义务 9","是"
"项目 J","基金 10","B 轮","文件 10","类别 10","义务 10","否"
"项目 K","基金 11","Pre-A 轮","文件 11","类别 11","义务 11","是"
"项目 L","基金 12","A 轮","文件 12","类别 12","义务 12","否"
"项目 M","基金 13","B 轮","文件 13","类别 13","义务 13","是"
"项目 N","基金 14","C 轮","文件 14","类别 14","义务 14","否"
"项目 O","基金 15","天使轮","文件 15","类别 15","义务 15","是"
"项目 P","基金 16","A 轮","文件 16","类别 16","义务 16","否"
"项目 Q","基金 17","B 轮","文件 17","类别 17","义务 17","是"
"项目 R","基金 18","Pre-A 轮","文件 18","类别 18","义务 18","否"
"项目 S","基金 19","A 轮","文件 19","类别 19","义务 19","是"
"项目 T","基金 20","B 轮","文件 20","类别 20","义务 20","否"
"项目 U","基金 21","C 轮","文件 21","类别 21","义务 21","是"
"项目 V","基金 22","天使轮","文件 22","类别 22","义务 22","否"
"项目 W","基金 23","A 轮","文件 23","类别 23","义务 23","是"
"项目 X","基金 24","B 轮","文件 24","类别 24","义务 24","否"
"项目 Y","基金 25","Pre-A 轮","文件 25","类别 25","义务 25","是"
"项目 Z","基金 26","A 轮","文件 26","类别 26","义务 26","否"
"项目 AA","基金 27","B 轮","文件 27","类别 27","义务 27","是"
"项目 AB","基金 28","C 轮","文件 28","类别 28","义务 28","否"
"项目 AC","基金 29","天使轮","文件 29","类别 29","义务 29","是"
"项目 AD","基金 30","A 轮","文件 30","类别 30","义务 30","否"